TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TERRITORIO#ca,TERRITORIO#es,TERRITORIO_CODE,OBS_VALUE,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es
12/2025,12/2025,2025-M12,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Eivissa,Eivissa,07026,,Baixa fiabilitat,Baja fiabilidad,U,,,,
12/2025,12/2025,2025-M12,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Eivissa,Eivissa,07026,,Baixa fiabilitat,Baja fiabilidad,U,,,,
12/2025,12/2025,2025-M12,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Eivissa,Eivissa,07026,,Baixa fiabilitat,Baja fiabilidad,U,,,,
12/2025,12/2025,2025-M12,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Sant Antoni de Portmany,Sant Antoni de Portmany,07046,,Baixa fiabilitat,Baja fiabilidad,U,,,,
12/2025,12/2025,2025-M12,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Sant Antoni de Portmany,Sant Antoni de Portmany,07046,,Baixa fiabilitat,Baja fiabilidad,U,,,,
12/2025,12/2025,2025-M12,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Sant Antoni de Portmany,Sant Antoni de Portmany,07046,,Baixa fiabilitat,Baja fiabilidad,U,,,,
12/2025,12/2025,2025-M12,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Sant Antoni de Portmany,Sant Antoni de Portmany,07046,,Baixa fiabilitat,Baja fiabilidad,U,,,,
12/2025,12/2025,2025-M12,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Sant Josep de sa Talaia,Sant Josep de sa Talaia,07048,,Baixa fiabilitat,Baja fiabilidad,U,,,,
12/2025,12/2025,2025-M12,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Sant Josep de sa Talaia,Sant Josep de sa Talaia,07048,,Baixa fiabilitat,Baja fiabilidad,U,,,,
12/2025,12/2025,2025-M12,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Sant Josep de sa Talaia,Sant Josep de sa Talaia,07048,,Baixa fiabilitat,Baja fiabilidad,U,,,,
12/2025,12/2025,2025-M12,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Sant Josep de sa Talaia,Sant Josep de sa Talaia,07048,,Baixa fiabilitat,Baja fiabilidad,U,,,,
12/2025,12/2025,2025-M12,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Santa Eulària des Riu,Santa Eulària des Riu,07054,,Baixa fiabilitat,Baja fiabilidad,U,,,,
12/2025,12/2025,2025-M12,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Santa Eulària des Riu,Santa Eulària des Riu,07054,,Baixa fiabilitat,Baja fiabilidad,U,,,,
12/2025,12/2025,2025-M12,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Santa Eulària des Riu,Santa Eulària des Riu,07054,,Baixa fiabilitat,Baja fiabilidad,U,,,,
12/2025,12/2025,2025-M12,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Santa Eulària des Riu,Santa Eulària des Riu,07054,,Baixa fiabilitat,Baja fiabilidad,U,,,,
12/2025,12/2025,2025-M12,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Formentera,Formentera,07024,,Baixa fiabilitat,Baja fiabilidad,U,,,,
12/2025,12/2025,2025-M12,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Formentera,Formentera,07024,,Baixa fiabilitat,Baja fiabilidad,U,,,,
12/2025,12/2025,2025-M12,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Formentera,Formentera,07024,,Baixa fiabilitat,Baja fiabilidad,U,,,,
12/2025,12/2025,2025-M12,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Formentera,Formentera,07024,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Alcúdia,Alcúdia,07003,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Alcúdia,Alcúdia,07003,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Alcúdia,Alcúdia,07003,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Alcúdia,Alcúdia,07003,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Calvià,Calvià,07011,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Calvià,Calvià,07011,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Calvià,Calvià,07011,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Calvià,Calvià,07011,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Felanitx,Felanitx,07022,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Felanitx,Felanitx,07022,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Felanitx,Felanitx,07022,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Felanitx,Felanitx,07022,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Palma,Palma,07040,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Palma,Palma,07040,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Palma,Palma,07040,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Palma,Palma,07040,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Pollença,Pollença,07042,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Pollença,Pollença,07042,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Pollença,Pollença,07042,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Pollença,Pollença,07042,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Sant Llorenç des Cardassar,Sant Llorenç des Cardassar,07051,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Sant Llorenç des Cardassar,Sant Llorenç des Cardassar,07051,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Sant Llorenç des Cardassar,Sant Llorenç des Cardassar,07051,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Sant Llorenç des Cardassar,Sant Llorenç des Cardassar,07051,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Santanyí,Santanyí,07057,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Santanyí,Santanyí,07057,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Santanyí,Santanyí,07057,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Santanyí,Santanyí,07057,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Son Servera,Son Servera,07062,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Son Servera,Son Servera,07062,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Son Servera,Son Servera,07062,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Son Servera,Son Servera,07062,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Ciutadella de Menorca,Ciutadella de Menorca,07015,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Ciutadella de Menorca,Ciutadella de Menorca,07015,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Ciutadella de Menorca,Ciutadella de Menorca,07015,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Ciutadella de Menorca,Ciutadella de Menorca,07015,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Sant Lluís,Sant Lluís,07052,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Sant Lluís,Sant Lluís,07052,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Sant Lluís,Sant Lluís,07052,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Sant Lluís,Sant Lluís,07052,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Eivissa,Eivissa,07026,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Eivissa,Eivissa,07026,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Eivissa,Eivissa,07026,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Eivissa,Eivissa,07026,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Sant Antoni de Portmany,Sant Antoni de Portmany,07046,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Sant Antoni de Portmany,Sant Antoni de Portmany,07046,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Sant Antoni de Portmany,Sant Antoni de Portmany,07046,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Sant Antoni de Portmany,Sant Antoni de Portmany,07046,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Sant Josep de sa Talaia,Sant Josep de sa Talaia,07048,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Sant Josep de sa Talaia,Sant Josep de sa Talaia,07048,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Sant Josep de sa Talaia,Sant Josep de sa Talaia,07048,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Sant Josep de sa Talaia,Sant Josep de sa Talaia,07048,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Santa Eulària des Riu,Santa Eulària des Riu,07054,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Santa Eulària des Riu,Santa Eulària des Riu,07054,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Santa Eulària des Riu,Santa Eulària des Riu,07054,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Santa Eulària des Riu,Santa Eulària des Riu,07054,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Formentera,Formentera,07024,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Formentera,Formentera,07024,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Formentera,Formentera,07024,,Baixa fiabilitat,Baja fiabilidad,U,,,,
11/2025,11/2025,2025-M11,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Formentera,Formentera,07024,,Baixa fiabilitat,Baja fiabilidad,U,,,,
10/2025,10/2025,2025-M10,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Alcúdia,Alcúdia,07003,56.17,Valor provisional,Valor provisional,P,,,,
10/2025,10/2025,2025-M10,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Alcúdia,Alcúdia,07003,59.17,Valor provisional,Valor provisional,P,,,,
10/2025,10/2025,2025-M10,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Alcúdia,Alcúdia,07003,55.08,Valor provisional,Valor provisional,P,,,,
10/2025,10/2025,2025-M10,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Alcúdia,Alcúdia,07003,57.68,Valor provisional,Valor provisional,P,,,,
10/2025,10/2025,2025-M10,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Calvià,Calvià,07011,79.91,Valor provisional,Valor provisional,P,,,,
10/2025,10/2025,2025-M10,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Calvià,Calvià,07011,80.98,Valor provisional,Valor provisional,P,,,,
10/2025,10/2025,2025-M10,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Calvià,Calvià,07011,61.65,Valor provisional,Valor provisional,P,,,,
10/2025,10/2025,2025-M10,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Calvià,Calvià,07011,63.31,Valor provisional,Valor provisional,P,,,,
10/2025,10/2025,2025-M10,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Felanitx,Felanitx,07022,,Baixa fiabilitat,Baja fiabilidad,U,,,,
10/2025,10/2025,2025-M10,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Felanitx,Felanitx,07022,,Baixa fiabilitat,Baja fiabilidad,U,,,,
10/2025,10/2025,2025-M10,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Felanitx,Felanitx,07022,,Baixa fiabilitat,Baja fiabilidad,U,,,,
10/2025,10/2025,2025-M10,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Felanitx,Felanitx,07022,,Baixa fiabilitat,Baja fiabilidad,U,,,,
10/2025,10/2025,2025-M10,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Palma,Palma,07040,65.92,Valor provisional,Valor provisional,P,,,,
